species,taxa,taxa_fine,sp_ncbi,sp_given.ncbi
Spinus pinus,Bird,Aves,Spinus pinus,eq
Spinus tristis,Bird,Aves,Spinus tristis,eq
Spizella passerina,Bird,Aves,Spizella passerina,eq
Spizella pusilla,Bird,Aves,Spizella pusilla,eq
Sporobolus airoides,Plant,Poaceae,Sporobolus airoides,eq
Stelgidopteryx serripennis,Bird,Aves,Stelgidopteryx serripennis,eq
Stellaria graminea,Plant,Caryophyllaceae,Stellaria graminea,eq
Sterna paradisaea,Bird,Aves,Sterna paradisaea,eq
Stipa occidentalis,Plant,Poaceae,Stipa occidentalis,eq
Sturnia philippensis,Bird,Aves,Sturnus philippensis,not_eq
Sturnus vulgaris,Bird,Aves,Sturnus vulgaris,eq
Sylvia atricapilla,Bird,Aves,Sylvia atricapilla,eq
Sylvia borin,Bird,Aves,Sylvia borin,eq
Sylvia communis,Bird,Aves,Sylvia communis,eq
Tachycineta bicolor,Bird,Aves,Tachycineta bicolor,eq
Tachyoryctes splendens naivashae,Mammal,Mammalia,Tachyoryctes splendens,not_eq
Tamiasciurus hudsonicus,Mammal,Mammalia,Tamiasciurus hudsonicus,eq
Tamias striatus griseus,Mammal,Mammalia,Tamias striatus,not_eq
Telespyza cantans,Bird,Aves,Telespiza cantans,not_eq
Thomomys umbrinus umbrinus,Mammal,Mammalia,Thomomys umbrinus,not_eq
Thryothorus ludovicianus,Bird,Aves,Thryothorus ludovicianus,eq
Thymallus thymallus,Fish,Actinopterygii,Thymallus thymallus,eq
Toxostoma rufum,Bird,Aves,Toxostoma rufum,eq
Triadica sebifera,Plant,Euphorbiaceae,Triadica sebifera,eq
Trifolium pratense,Plant,Fabaceae,Trifolium pratense,eq
Trisopterus esmarkii,Fish,Actinopterygii,Trisopterus esmarkii,eq
Tristerix corymbosus,Plant,Loranthaceae,Tristerix corymbosus,eq
Troglodytes aedon,Bird,Aves,Troglodytes aedon,eq
Troglodytes troglodytes,Bird,Aves,Troglodytes troglodytes,eq
Turdus iliacus,Bird,Aves,Turdus iliacus,eq
Turdus merula,Bird,Aves,Turdus merula,eq
Turdus migratorius,Bird,Aves,Turdus migratorius,eq
Turdus philomelos,Bird,Aves,Turdus philomelos,eq
Turdus torquatus alpestris,Bird,Aves,Turdus torquatus,not_eq
Turdus torquatus torquatus,Bird,Aves,Turdus torquatus torquatus,eq
Turdus viscivorus,Bird,Aves,Turdus viscivorus,eq
Tussilago farfara,Plant,Asteraceae,Tussilago farfara,eq
Ulex europaeus,Plant,Fabaceae,Ulex europaeus,eq
Urocyon cinereoargenteus,Mammal,Mammalia,Urocyon cinereoargenteus,eq
Urocyon littoralis,Mammal,Mammalia,Urocyon littoralis,eq
Ursus arctos,Mammal,Mammalia,Ursus arctos,eq
Vermivora chrysoptera,Bird,Aves,Vermivora chrysoptera,eq
Vermivora cyanoptera,Bird,Aves,Vermivora cyanoptera,eq
Veronica hederifolia,Plant,Plantaginaceae,Veronica hederifolia,eq
