species,common,taxa,phylum,class,order,sp_ncbi,sp_given.ncbi
Medicago polymorpha,,Plant,Streptophyta,Magnoliopsida,Fabales,Medicago polymorpha,eq
Melaleuca quinquenervia,,Plant,Streptophyta,Magnoliopsida,Myrtales,Melaleuca quinquenervia,eq
Melanerpes carolinus,,Bird,Chordata,Aves,Piciformes,Melanerpes carolinus,eq
Melanogrammus aeglefinus,,Fish,Chordata,Actinopteri,Gadiformes,Melanogrammus aeglefinus,eq
Meles meles,,Mammal,Chordata,Mammalia,Carnivora,Meles meles,eq
Melilotus officinalis,,Plant,Streptophyta,Magnoliopsida,Fabales,Melilotus officinalis,eq
Melospiza georgiana,,Bird,Chordata,Aves,Passeriformes,Melospiza georgiana,eq
Melospiza lincolnii,,Bird,Chordata,Aves,Passeriformes,Melospiza lincolnii,eq
Melospiza melodia,,Bird,Chordata,Aves,Passeriformes,Melospiza melodia,eq
Merlangius merlangus,,Fish,Chordata,Actinopteri,Gadiformes,Merlangius merlangus,eq
Merluccius bilinears,,Fish,Chordata,Actinopteri,Gadiformes,Merluccius bilinearis,not_eq
Metriaclima zebra,,Fish,Chordata,Actinopteri,Cichliformes,Maylandia zebra,not_eq
Microtus mexicanus mexicanus,,Mammal,Chordata,Mammalia,Rodentia,Microtus mexicanus,not_eq
Microtus pennsylvanicus pennsylvanicus,,Mammal,Chordata,Mammalia,Rodentia,Microtus pennsylvanicus pennsylvanicus,eq
Mimulus guttatus,,Plant,Streptophyta,Magnoliopsida,Lamiales,Erythranthe guttata,not_eq
Mniotilta varia,,Bird,Chordata,Aves,Passeriformes,Mniotilta varia,eq
Molothrus ater,,Bird,Chordata,Aves,Passeriformes,Molothrus ater,eq
Motacilla alba,,Bird,Chordata,Aves,Passeriformes,Motacilla alba,eq
Motacilla cinerea,,Bird,Chordata,Aves,Passeriformes,Motacilla cinerea,eq
Motacilla flava,,Bird,Chordata,Aves,Passeriformes,Motacilla flava,eq
Muscicapa striata,,Bird,Chordata,Aves,Passeriformes,Muscicapa striata,eq
Mus musculus,,Mammal,Chordata,Mammalia,Rodentia,Mus musculus,eq
Mustela erminea,,Mammal,Chordata,Mammalia,Carnivora,Mustela erminea,eq
Mustela frenata,,Mammal,Chordata,Mammalia,Carnivora,Mustela frenata,eq
Mustela nivalis,,Mammal,Chordata,Mammalia,Carnivora,Mustela nivalis,eq
Mustela putorius,,Mammal,Chordata,Mammalia,Carnivora,Mustela putorius,eq
Mustela vison,,Mammal,Chordata,Mammalia,Carnivora,Neogale vison,not_eq
